    ,URL                               ,Company
 93 ,powerwhip.com.au                  ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
 94 ,speedwhip.com.au                  ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
 96 ,whipcreamchargers.com.au          ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
 66 ,creamcharger.net.au               ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
 28 ,nitrouswhip.com.au                ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
  7 ,creamchargerwarehouse.com.au      ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
  5 ,creamchargers.net.au              ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
  3 ,bestnangs.com.au                  ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
 19 ,nangsdelivery.com.au              ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
 87 ,nangsdelivery.au                  ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
 83 ,nangrobot.com.au                  ,"{'name': 'Nigel Abery', 'organization': 'Company', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
102 ,www.nangsters.com.au              ,"{'name': 'Riyez Mugge', 'organization': 'Nangsters', 'rawText': 'Registrant Contact Name: Riyez Mugge'}"
 14 ,nangcity.com.au                   ,"{'name': 'Rory Macdonald', 'organization': 'BASIC SCIENCE PTY. LTD.', 'rawText': 'Registrant Contact Name: Rory Macdonald'}"
 48 ,www.nangdeliverybrisbane.com.au   ,"{'name': 'Smit Shah', 'organization': 'INDI4 PTY LTD', 'rawText': 'Registrant Contact Name: Smit Shah'}"
 62 ,nangmelbourne.com.au              ,"{'name': 'Subin Maharjan', 'organization': 'Random kitchen pty ltd', 'rawText': 'Registrant Contact Name: Subin Maharjan'}"
 46 ,www.mrnangs.com.au                ,"{'name': 'Sunghee Han', 'organization': 'Tony Tse', 'rawText': 'Registrant Contact Name: Sunghee Han'}"
 21 ,nangsdeliverygoldcoast.com.au     ,"{'name': 'VISHNUBHAI DAHYALAL PATEL', 'organization': 'JAMESS TRADING AUSTRALIA PTY LTD', 'rawText': 'Registrant Contact Name: VISHNUBHAI DAHYALAL PATEL'}"
 55 ,www.quicknangs.com.au             ,"{'name': 'Wilson luong', 'organization': 'Sole Trader', 'rawText': 'Registrant Contact Name: Wilson luong'}"
  0 ,sydneynang24h.com.au              ,"{'name': 'Yang Xiao', 'organization': 'Gourmet Republic Pty Ltd', 'rawText': 'Registrant Contact Name: Yang Xiao'}"
 89 ,nangsvictoria.com.au              ,"{'name': 'Yap Sheng Anson Yeoh', 'organization': 'YEOH, YAP SHENG', 'rawText': 'Registrant Contact Name: Yap Sheng Anson Yeoh'}"
 69 ,creamymax.com.au                  ,"{'name': 'Yiyang Zhang', 'organization': 'The Trustee for Uniontosky Holdings Investment Trust', 'rawText': 'Registrant Contact Name: Yiyang Zhang'}"
